,Passage
20,Frente Amplio displaced Partido Colorado traditional urban welfare state constituency enjoying boom export commodity prices
21,Reporters Without Borders worldwide press freedom index ranked Uruguay 57th 168 reported countries 2006 Reporters Without Borders Worldwide Press Freedom Index 2006
22,According Freedom House American organization tracks global trends political freedom Uruguay ranked twentyseventh Freedom World index According Economist Intelligence Unit Uruguay scores 796 Democracy Index located last position among 28 countries considered Full Democracies world report looks 60 indicators across five categories Free elections civil liberties functioning government political participation political culture Economist world 2007 Pause democracys march Page 93
23,Uruguay ranks 28th World CPI Corruption Perception Index composed Transparency International
24,Uruguayan constitution allows citizens challenge laws approved Parliament use Referendum propose changes Constitution use Plebiscite last 15 years method used several times confirm amnesty members military violated human rights military regime 19731985 stop privatization public utilities companies See Economy Public Sector defend pensioners incomes protect water resources
25,176214 square kilometres 68036 square miles continental land 142199 square kilometres 54903 sq mi jurisdictional waters small river islands Instituto Nacional Estadistica Uruguay second smallest sovereign nation South America Suriname third smallest territory French Guiana smallest landscape features mostly rolling plains low hill ranges cuchillas fertile coastal lowland dense fluvial network covers country consisting four river basins deltas RÃo de la Plata Uruguay River Laguna MerÃn RÃo Negro major internal river RÃo Negro black river Several lagoons found along Atlantic coast
26,highest point country Cerro Catedral 51366 meters 1685 ft 3 Sierra de CarapÃ mountain range southwest RÃo de la Plata estuary Uruguay River forms western border ParanÃ River run Uruguay
27,Uruguay consists nineteen departments singular first departments formed 1816 newest date 1885 Flores departments governed intendente municipal elected five years members Departmental Assembly form legislative level department
28,Map Uruguay
29,Uruguay shares borders two countries Argentina
30,Brazil
31,climate Uruguay temperate warm summers cold winters predominantly gently undulating landscape also somewhat vulnerable rapid changes weather fronts
32,receives periodic influence polar air winter tropical air Brazil summer Without mountains zone act barrier air masses freely move territory causing abrupt weather changes
33,coolest month June warmest January rainfall equally distributed throughout year tends bit frequent autumn months frequent thunderstorms summer Although snow common snowed 1913 1918 1963 1989 1992 2007
34,Playa Brava Punta del Este Uruguay
35,Since 1984 Uruguay Antarctic base General Artigas King George Island Antarctica part South Shetland Islands archipelago 100 km 62 mi Antarctic peninsula
36,Montevideo Uruguays capital
37,Uruguay middle income economy mainly dominated State services sector exportoriented agricultural sector industrial sector Uruguay relies heavily trade particularly agricultural exports leaving country particularly vulnerable slumps commodity prices global economic slowdowns averaging growth 5 annually 19961998 19992001 economy suffered lower demand Argentina Brazil together account nearly half Uruguays exports Despite severity trade shocks Uruguays financial indicators remained stabler neighbours reflection solid reputation among investors investmentgrade sovereign bond rating â one two South America Aboutcom Go South America based information CIA World Factbook recent years Uruguay shifted energy developing commercial use technologies become first exporter software Latin America Diego Stewart Building Uruguay exports architectural services India Latin America Latin Trade May 2005 Retrieved August 11 2007
38,parts economy appeared resilient downturn severe impact local population Unemployment levels rose 20 real wages fell peso devalued worsening economic conditions played part turning public opinion mildly free market economic policies adopted previous administrations 1990s leading popular rejection proposals privatization state petroleum company 2003 state water company 2004 newly elected Frente Amplio government pledging continue payments Uruguays external debt Michael Fox Uruguays Frente Amplio Revolution Dilution June 19 2007 Retrieved August 11 2007 also promised undertake Emergency Plan See sectionSocial Problems Poverty inequality attack widespread problems poverty unemployment See leaders President Tabare Vazquez taking office announced 100m emergency plan help poor
39,Agriculture played important part Uruguayan history national identity middle twentieth century entire country sometimes likened single huge estancia agricultural estate centred around Montevideo wealth generated hinterland spent casco administrative head
40,heartland historic estancias Estancia San Eugenio CasupÃ southern department Florida
41,Today agriculture contributes roughly 10 countryâs GDP still main foreign exchange earner putting Uruguay line agricultural exporters like Brazil Canada New Zealand Uruguay member Cairns Group exporters agricultural products Uruguayâs agriculture relatively low inputs labour technology capital comparison countries results comparatively lower yields per hectare also opens door Uruguay market products natural ecological
42,Campaigns like âUruguayan grassfed beefâ âUruguay Naturalâ aim establish Uruguay premium brand beef wine food products
43,Recently industry developed around estancia tourism capitalizes traditional folkloristic connotations associated gaucho culture remaining resources Uruguays historic estancias
44,Approximately 88 population prevalently white European descent Spaniards followed closely Italians French Germans Portuguese British Swiss Russians Poles Bulgarians Hungarians Ukrainians Lithuanians Estonians Latvians Dutch Belgians Croatians Greeks Scandinavians Irish Armenians 08 Mestizo
45,remaining AfroLatin American ancestry ref
46,INE Spanish
47,Many European immigrants arrived Uruguay late 1800s heavily influenced architecture culture Montevideo major cities reason Montevideo life within city reminiscent parts Europe example Barcelona Thessaloniki TelAviv said similar Montevideo different aspects ref
48,colonies Colonia Valdense Waldensian colony Colonia Suiza also named Nueva Helvecia mainly Swiss colony German Austrian settlers founded department Colonia also towns founded early British settlers like Conchillas Barker Russian colony called San Javier found department RÃo Negro Mennonite colonies also found department RÃo Negro department Canelones One called El OmbÃº famous wellknown Dulce de Leche Claldy located near city Young
49,Uruguay large urban middle class literacy rate 9679 1996 est ref 1970s 1980s estimated 600000 Uruguayans emigrated mainly Spain Italy Argentina Brazil Uruguayans went various countries Europe USA Australia
50,birth rate 1673 births1000 population Brazil 1656 births1000 population ref
51,Uruguays oldest church San Carlos Maldonado
52,Church state officially separated since approximately 1916 Uruguayans adhere Roman Catholic faith 62 smaller Protestant 4 Jewish 3 well large nonprofessing group 31
53,Although majority Uruguayans actively practice religion nominally church members Catholic Protestant Jewish communities widely considered secular nation Latin America
54,According data published United Nations Gini index Uruguay equals 448 2003 100 stands maximum inequality 0 even distribution wealth population
55,recent report compiled published National Statistics Institute Instituto Nacional de Estadistica Uruguay used 2 indicators estimate number people living poverty country
56,Indigence line income family enough basic food consumption
57,Poverty line income family enough food consumption clothing health transport
58,numbers obtained depends according methodology used inform uses 3 different methods According one proposed Regional Workshop poverty measurement 1996 produces highest values results first quarter 2006
59,Population Indigence line 301
60,Population Poverty line 18
61,reports shows indicators improving country recovering last 2002 crisis 2004 poverty indicators reached time high ref
62,new ministry Social Development created Broad Front Uruguay Frente Amplio government led Tabare Vazquez Emergency plan targets less favoured 200000 Uruguayans
63,average income woman 2002 Uruguay 718 income men activity ref average income African heritage workers 65 European heritage ref
64,Montevideo capital country view pedestrian street Ciudad Vieja former Spanish citadel
65,Although rents neighborhoods high demand expensive Uruguay usually required another property warranty contract leave deposit many afford
66,first condition makes renting property especially difficult least favoured sectors population According INE 23 3 population lives place neither owned rented proper built houses others precarious constructions built illegally public private empty land outside cities Thus whole new poor neighborhoods emerged last decades called Asentamientos colloquially Cantegriles ironic allusion fashionable Neighborhood Cantegril Punta del Este
67,phenomena similar Favelas Brazil
68,Villas Miseria Argentina Barrios Venezuela Arrabales Spain Poblaciones Callampa Chile Jacales Mexico
69,main sport Uruguay football Uruguay national football team one five nations win FIFA World Cup two occasions 1930 Uruguay hosted first ever World Cup went win competition defeating Argentina 42 final Uruguay 1950 FIFA World Cup well famously defeating favored hosts Brazil 21 final Uruguay far smallest country population wise win World Cup World Cup winners nation second smallest population Argentina winners 1978 1986 editions currently 40000000 people according latest estimate 2002 census Uruguays current population slightly 3400000 Uruguay national team also Copa AmÃrica 14 different times record shares Argentina
70,Basketball rugby union tennis popular sports Uruguay
71,Political economic rankings
72,Health rankings
73,rankings
74,Michael Faraday FRS September 22 1791 â August 25 1867 English chemist physicist natural philosopher terminology time contributed fields electromagnetism electrochemistry
75,Faraday studied magnetic field around conductor carrying DC electric current established basis magnetic field concept physics discovered electromagnetic induction diamagnetism electrolysis established magnetism could affect rays light underlying relationship two phenomena Michael Faraday entry 1911 Encyclopaedia Britannica hosted LovetoKnow Retrieved January 2007 Institution Engineering Technology London Archives Michael Faraday inventions electromagnetic rotary devices formed foundation electric motor technology largely due efforts electricity became viable use technology
76,chemist Faraday discovered benzene investigated clathrate hydrate chlorine invented early form bunsen burner system oxidation numbers popularized terminology anode cathode electrode ion
77,Although Faraday received little formal education knew little higher mathematics calculus one influential scientists history historians science refer best experimentalist history science best experimentalist history science Quoting Dr Peter Ford University Bathâs Department Physics Accessed January 2007 SI unit capacitance farad named Faraday constant charge mole electrons 96485 coulombs Faradays law induction states magnetic field changing time creates proportional electromotive force
78,Faraday first foremost Fullerian Professor Chemistry Royal Institution Great Britain position appointed life
79,Michael Faraday photograph John Watkins British Library
80,Michael Faraday born Newington Butts near presentday South London England family well father James member Sandemanian sect Christianity James Faraday come London ca 1790 Outhgill Westmorland village blacksmith young Michael Faraday one four children basic school educations largely educate Michael Faraday History Science Technology Houghton Mifflin Company 2004 Answerscom 4 June 2007 ref fourteen became apprenticed local bookbinder bookseller George Riebau sevenyear apprenticeship read many books including Isaac Watts Improvement Mind enthusiastically implemented principles suggestions contained therein developed interest science specifically electricity particular inspired book Conversations Chemistry Jane Marcet
81,age twenty 1812 end apprenticeship Faraday attended lectures eminent English chemist physicist Humphry Davy Royal Institution Royal Society John Tatum founder City Philosophical Society Many tickets lectures given Faraday William Dance one founders Royal Philharmonic Society Afterwards Faraday sent Davy three hundred page book based notes taken lectures Davys reply immediate kind favorable Davy damaged eyesight accident nitrogen trichloride decided employ Faraday secretary John Payne one Royal Institutions assistants fired Sir Humphry Davy asked find replacement appointed Faraday Chemical Assistant Royal Institution March 1
82,classbased English society time Faraday considered gentleman Davy went long tour continent 18135 valet wish go Faraday going Davys scientific assistant asked act Davys valet replacement could found Paris Davy failed find replacement Faraday forced fill role valet well assistant throughout trip Davys wife Jane Apreece refused treat Faraday equal making travel outside coach eat servants etc generally made Faraday miserable contemplated returning England alone giving science altogether trip however give access European scientific elite host stimulating ideas
83,sponsor mentor John Mad Jack Fuller created Fullerian Professorship Chemistry Royal Institution
84,Faraday devout Christian member small Sandemanian denomination offshoot Church Scotland later served two terms elder groups church
85,Faraday married Sarah Barnard 18001879 June 2 1821 although would never children met attending Sandemanian church
86,elected member Royal Society 1824 appointed director laboratory 1825 1833 appointed Fullerian professor chemistry institution life without obligation deliver lectures
87,title page Chemical History Candle 1861
88,Faradays earliest chemical work assistant Davy made special study chlorine discovered two new chlorides carbon also made first rough experiments diffusion gases phenomenon first pointed John Dalton physical importance fully brought light Thomas Graham Joseph Loschmidt succeeded liquefying several gases investigated alloys steel produced several new kinds glass intended optical purposes specimen one heavy glasses afterwards became historically important substance Faraday detected rotation plane polarisation light glass placed magnetic field also substance first repelled poles magnet also endeavoured success make general methods chemistry distinguished results subject special study popular exposition
89,invented early form become Bunsen burner used almost universally science laboratories convenient source heat See page 127 Faradays Chemical Manipulation Instructions Students Chemistry 1827
90,Faraday worked extensively field chemistry discovering chemical substances benzene called bicarburet hydrogen inventing system oxidation numbers liquefying gases chlorine 1820 Faraday reported first syntheses compounds made carbon chlorine C 2 H 6 C 2 H 4 published results following year Faraday also determined composition chlorine clathrate hydrate discovered Humphry Davy 1810
91,Faraday also discovered laws electrolysis popularized terminology anode cathode electrode ion terms largely created William Whewell
92,Faraday first report later came called metallic nanoparticles 1847 discovered optical properties gold colloids differed corresponding bulk metal probably first reported observation effects quantum size might considered birth nanoscience
93,Faradays greatest work probably electricity magnetism first experiment recorded construction voltaic pile seven halfpence pieces stacked together seven disks sheet zinc six pieces paper moistened salt water pile decomposed sulphate magnesia first letter Abbott July 12 1812
94,ImageFaraday photograph iijpgthumb200pxleftMichael Faraday holding glass bar type used 1845 show magnetism affect light Detail engraving Henry Adlard based earlier photograph Maull Polyblank ca 1857 See National Portrait Gallery UK
95,1821 soon Danish physicist chemist Hans Christian Ãrsted discovered phenomenon electromagnetism Davy British scientist William Hyde Wollaston tried failed design electric motor Faraday discussed problem two men went build two devices produce called electromagnetic rotation continuous circular motion circular magnetic force around wire wire extending pool mercury magnet placed inside would rotate around magnet supplied current chemical battery latter device known homopolar motor experiments inventions form foundation modern electromagnetic technology Faraday published results without acknowledging debt Wollaston Davy resulting controversy caused Faraday withdraw electromagnetic research several years
96,stage also evidence suggest Davy may trying slow Faradayâs rise scientist natural philosopher known 1825 instance Davy set onto optical glass experiments progressed six years great results Davys death 1829 Faraday stopped fruitless tasks moved endeavors worthwhile Two years later 1831 began great series experiments discovered electromagnetic induction Joseph Henry likely discovered selfinduction months earlier may anticipated work Francesco Zantedeschi Italy 1829 1830
97,Faradays breakthrough came wrapped two insulated coils wire around massive iron ring bolted chair found upon passing current one coil momentary current induced coil phenomenon known mutual induction iron ringcoil apparatus still display Royal Institution subsequent experiments found moved magnet loop wire electric current flowed wire current also flowed loop moved stationary magnet demonstrations established changing magnetic field produces electric field relation mathematically modelled Faradays law subsequently became one four Maxwell equations turn evolved generalization known today field theory
98,Michael Faraday statue Savoy Place London
99,Sculptor John Henry Foley RA
100,Faraday later used principle construct electric dynamo ancestor modern power generators
101,1839 completed series experiments aimed investigating fundamental nature electricity Faraday used static batteries animal electricity produce phenomena electrostatic attraction electrolysis magnetism etc concluded contrary scientific opinion time divisions various kinds electricity illusory Faraday instead proposed single electricity exists changing values quantity intensity voltage charge would produce different groups phenomena
102,Near end career Faraday proposed electromagnetic forces extended empty space around conductor idea rejected fellow scientists Faraday live see idea eventually accepted Faradays concept lines flux emanating charged bodies magnets provided way visualize electric magnetic fields mental model crucial successful development electromechanical devices dominated engineering industry remainder 19th century
103,1845 discovered phenomenon named diamagnetism called Faraday effect plane polarization linearly polarized light propagated material medium rotated application external magnetic field aligned propagation direction wrote notebook last succeeded illuminating magnetic curve line force magnetising ray light established magnetic force light related
104,work static electricity Faraday demonstrated charge resided exterior charged conductor exterior charge influence anything enclosed within conductor exterior charges redistribute interior fields due cancel shielding effect used known Faraday cage
105,Faraday excellent experimentalist conveyed ideas clear simple language However mathematical abilities extend far trigonometry simplest algebra James Clerk Maxwell took work Faraday others consolidated set equations lie base modern theories electromagnetic phenomena
106,Michael Faraday meets Father Thames Punch July 21 1855
107,Beyond scientific research areas chemistry electricity magnetism Royal Institution Faraday undertook numerous often timeconsuming service projects private enterprise British government work included investigations explosions mines expert witness court preparation highquality optical glass
108,respected scientist nation strong maritime interests Faraday spent extensive amounts time projects construction operation light houses protecting bottoms ships corrosion
109,Faraday also active would called environmental science engineering investigated industrial pollution Swansea consulted air pollution Royal Mint July 1855 Faraday wrote letter Times subject foul condition River Thames resulted oftreprinted cartoon Punch See also Great Stink
110,Faraday assisted planning judging exhibits Great Exhibition 1851 London also advised National Gallery cleaning protection art collection served National Gallery Site Commission 1857
111,Education another area service Faraday lectured topic 1854 Royal Institution 1862 appeared Public Schools Commission give views education Great Britain Faraday also weighed negatively publics fascination tableturning mesmerism seances chastising public nations educational system See Illustrated London News July 1853 Faradays comments
112,125px
113,June 1832 University Oxford granted Faraday Doctor Civil Law degree honorary lifetime Faraday rejected knighthood twice refused become President Royal Society
114,1848 result representations Prince Consort Michael Faraday awarded grace favour house Hampton Court Surrey free expenses upkeep Master Masons House later called Faraday House No37 Hampton Court Road 1858 Faraday retired live Twickenham Museum Faraday Faraday House Accessed June 2006
115,Faraday died house Hampton Court August 25 1867 turned burial Westminster Abbey memorial plaque near Isaac Newtons tomb Faraday interred Sandemanian plot Highgate Cemetery
116,Michael Faradays grave Highgate Cemetery
117,Faraday gave successful series lectures chemistry physics flames Royal Institution entitled Chemical History Candle one earlier Christmas lectures young people still given year 1827 1860 Faraday gave Christmas lecture record nineteen times
118,Faraday refused participate production chemical weapons Crimean War citing ethical reasons
119,statue Faraday stands Savoy Place London outside Institution Electrical Engineers
120,recently built hall accommodation Brunel University named Faraday
121,hall Loughborough University named Faraday 1960 Near entrance dining hall bronze casting depicts symbol electrical transformer inside hangs portrait Faradays honour
122,Faradays picture printed British Â20 banknotes 1991 2001 Bank England Withdrawn Notes
123,video game Chromehounds ThermoVision Device named Faraday
124,former UK Faraday Atmospheric Research Station Antarctica named
125,Faraday one eight foreign members French Academy Sciences
126,Michael Faradays signature
127,Faradays books exception Chemical Manipulation collections scientific papers transcriptions lectures See page 220 Hamiltons Life Discovery Michael Faraday Giant Scientific Revolution 2002 Since death Faradays diary published several large volumes letters Faradays journal travels Davy 1813 1815
128,One day sir may tax Faradays reply William Gladstone British Minister Finance asked practical value electricity
129,would cause view acknowledged scientific men would great service science would even get say yes conclusions would help clear future progress believe hesitate like thoughts disturbed Life Letters 2389
130,Tyndall John Faraday Discoverer Longmans 1st ed 1868 2nd ed 1870
131,Bence Jones Henry 1870 Life Letters Faraday 2 vols Longmans
132,Gladstone J H 1872 Michael Faraday Macmillan
133,British Electrical Allied Manufacturers Association 1931 Faraday R R Clark Ltd Edinburgh 1931
134,Williams L Pearce 1971 Faraday Biography Simon Schuster
135,Agassi Joseph 1971 Faraday Natural Philosopher Chicago University Chicago Press
136,150px
137,Faraday LoveToKnow 1911 Britannica Online Encyclopedia
138,Experimental Researches Electricity Michael Faraday Original text Biographical Introduction Professor John Tyndall 1914 Everyman edition
139,Anders Celsius
140,observatory Anders Celsius contemporary engraving
141,Anders Celsius November 27 1701 April 25 1744 Swedish astronomer
142,Celsius born Uppsala Sweden professor astronomy Uppsala University 1730 1744 traveled 1732 1735 visiting notable observatories Germany Italy France
143,Nuremberg 1733 published collection 316 observations aurora borealis made others period 17161732 Paris advocated measurement arc meridian Lapland 1736 took part expedition organized purpose French Academy Sciences led French mathematician Pierre Louis Maupertuis
144,Celsius founded Uppsala Astronomical Observatory 1741 1742 proposed Celsius temperature scale paper Royal Swedish Academy Sciences thermometer 100 freezing point water 0 boiling point scale reversed Carolus Linnaeus 1745 today Linnaeus thermometer
145,Anders Celsius first perform publish careful experiments aiming definition international temperature scale scientific grounds Swedish paper Observations two persistent degrees thermometer reports experiments check freezing point independent latitude atmospheric pressure determined dependence boiling water atmospheric pressure excellent agreement modern data gave rule determination boiling point barometric pressure deviates certain standard pressure History Celsius temperature scale
146,1744 died tuberculosis Uppsala buried Old Uppsala Church
147,Celsius crater Moon named
148,Millard Fillmore January 7 1800 March 8 1874 thirteenth President United States serving 1850 1853 last member Whig Party hold office second Vice President assume Presidency upon death sitting President succeeding Zachary Taylor died acute gastroenteritis Fillmore never elected President serving Taylors term failed gain nomination Presidency Whigs 1852 presidential election four years later 1856 presidential election failed win election President Know Nothing Party Whig candidate
149,Fillmore born log cabin Summerhill New York Nathaniel Phoebe Millard Fillmore second nine children eldest son Though Unitarian later life
150,Fillmore descended Scottish Presbyterians fathers side English dissenters mothers first apprenticed fuller learn clothmaking trade also served home guard New York militia time struggled obtain education frontier conditions attending New Hope Academy six months
151,fell love Abigail Powers later married February 26 1826 couple two children Millard Powers Fillmore Mary Abigail Fillmore Later Fillmore bought apprenticeship moved Buffalo New York continue studies admitted bar 1823 began law practice East Aurora 1834 formed law partnership Fillmore Hall becoming Fillmore Hall 1836 good friend Nathan K Hall would later serve cabinet Postmaster General would become one western New Yorks prestigious firms
152,1846 founded private University Buffalo today public State University New York Buffalo UB University Buffalo largest school New York state university system
153,Engraving Millard FillmoreIn 1828 Fillmore elected New York State Assembly AntiMasonic ticket serving one term 1829 1831 later elected Whig followed mentor Thurlow Weed party 23rd Congress 1832 serving 1833 1835 reelected 1836 25th Congress 26th 27th Congresses serving total 1833 1843 declining candidate renomination 1842
154,Congress opposed entrance Texas slave territory came second place bid Speaker House Representatives 1841 served chairman House Ways Means Committee 1841 1843 author Tariff 1842 well two bills President John Tyler vetoed
155,leaving Congress Fillmore unsuccessful Whig candidate Governor New York 1844 served New York State Comptroller 1847 1849 state comptroller revised New Yorks banking system making model future National Banking System
156,Whig national convention 1848 nomination Gen Zachary Taylor president angered supporters Henry Clay well opponents slavery extension territory gained USMexican War group practical Whig politicians nominated Fillmore vice president believing would heal party wounds help ticket carry New York state
157,TaylorFillmore campaign posterHaving worked way Whig Party New York Fillmore selected Taylors running mate thought obscure selfmade candidate New York would complement Taylor slaveholding military man south
158,Fillmore also selected part block New York state machine boss Thurlow Weed receiving vice presidential nomination front man William H Seward receiving position Taylors cabinet Weed ultimately got Seward elected senate competition Seward Fillmore led Sewards becoming vocal part cabinet meetings voice Fillmore advising administration battle would continue even Taylors death
159,Taylor Fillmore disagreed slavery issue new western territories taken Mexico MexicanAmerican War Taylor wanted new states free states Fillmore supported slavery states means appeasing South words God knows detest slavery existing evil must endure give protection guaranteed Constitution
160,Fillmore presided Senate months nervewracking debates Compromise 1850 one debate Senator Henry Foote Mississippi pulled pistol Senator Thomas Hart Benton Missouri Fillmore made public comment merits compromise proposals days President Taylors death Fillmore suggested president tie vote Henry Clays bill would vote favor North
161,Official White House portrait Millard FillmoreFillmore ascended presidency upon sudden unexpected death President Taylor July 1850 change leadership also signaled abrupt political shift administration Fillmore removed Taylors entire cabinet replacing individuals known favorable Compromise efforts Fillmore signaled shift appointing Daniel Webster Secretary State
162,president Fillmore dealt increasing party divisions within Whig party party harmony became one primary objectives tried unite party pointing differences Whigs Democrats proposing tariff reforms negatively reflected Democratic Party Another primary objective Fillmore preserve Union intensifying slavery debate
163,Henry Clays proposed bill admit California Union still aroused violent arguments extension slavery without progress toward settling major issues South continued threaten secession Fillmore recognized Clays plan best way end sectional crisis California free state harsher fugitive slave law abolish slave trade DC Clay exhausted left Washington recuperate passing leadership Senator Stephen Douglas Illinois critical juncture President Fillmore announced support Compromise 1850
164,August 6 1850 sent message Congress recommending Texas paid abandon claims part New Mexico helped shift critical number northern Whigs Congress away insistence upon Wilmot Provisoâthe stipulation land gained Mexican War must closed slavery
165,Douglass effective strategy Congress combined Fillmores pressure gave impetus Compromise movement Breaking Clays single legislative package Douglas presented five separate bills Senate
166,Admit California free state
167,Settle Texas boundary compensate state lost lands
168,Grant territorial status New Mexico
169,Place federal officers disposal slaveholders seeking escapeesâthe Fugitive Slave Act
170,Abolish slave trade District Columbia
171,measure obtained majority September 20 President Fillmore signed law Webster wrote sleep nights
172,Portrait Millard FillmoreWhigs sides refused accept finality Fillmores law led party division loss numerous elections forced Northern Whigs say God Save us Whig Vice Presidents
173,Fillmores greatest difficulty fugitive slave law enforce without seeming show favor towards Southern Whigs solution appease northern southern Whigs calling enforcement fugitive slave law North enforcing South law forbidding involvement Cuba sole purpose adding slave state
174,Another issue presented Fillmores presidency arrival Louis Kossuth exiled leader failed Hungarian revolution Kossuth wanted United States abandon nonintervention policies came European affairs recognize Hungaryâs independence problem came enormous support Kossuth received GermanAmerican immigrants United States essential reelection Whigs Democrats Fillmore refused change American policy decided remain neutral despite political implications neutrality would produce
175,Another important legacy Fillmores administration sending Commodore Matthew C Perry open Japan Western trade though Perry reach Japan Franklin Pierce replaced Fillmore president
176,Fillmore appointed following Justices Supreme Court United States
177,northern Whigs remained irreconcilable refusing forgive Fillmore signed Fugitive Slave Act helped deprive Presidential nomination 1852 Within years apparent although Compromise intended settle slavery controversy served rather uneasy sectional truce
178,Whig party deeply divided two leading candidates Whig party Webster Fillmore refused combine secure nomination Winfield Scott received north south refused unite behind Scott 4 31 states lost election Franklin Pierce
179,Fillmores defeat Whig party continued downward spiral party division coming hands Kansas Nebraska Act emergence Know Nothing party
180,Statue Fillmore outside City Hall downtown Buffalo New York
181,Fillmore one founders University Buffalo school chartered act New York State Legislature May 11 1846 first medical school Fillmore first Chancellor position maintained Vice President President Upon completing presidency Fillmore returned Buffalo continued serve chancellor
182,death daughter Mary Fillmore went abroad touring Europe 1855 Fillmore offered honorary Doctor Civil Law DCL degree University Oxford Fillmore turned honor explaining neither literary scientific attainment justify degree also quoted explained lacked benefit classical education could therefore understand Latin text diploma joking believed man accept degree read
183,FillmoreDonelson campaign posterBy 1856 Fillmores Whig Party ceased exist fallen apart due dissension slavery issue especially KansasNebraska Act 1854 Fillmore refused join new Republican Party many former Whigs including Abraham Lincoln found refuge Instead Fillmore joined antiimmigrant antiCatholic American Party political organ KnowNothing movement
184,ran election 1856 partys candidate attempting win nonconsecutive second term President feat accomplished American politics Grover Cleveland running mate Andrew Jackson Donelson nephew former president Andrew Jackson Fillmore Donelson finished third carrying state Maryland eight electoral votes 216 popular vote one best showings ever Presidential thirdparty candidate
185,February 10 1858 death first wife Fillmore married Caroline McIntosh wealthy widow combined wealth allowed purchase big house Buffalo New York house became center hospitality visitors health began decline 1860s
186,Throughout Civil War Fillmore opposed President Lincoln Reconstruction supported President Johnson commanded Union Continentals corps home guards males age 45 Upstate New York area Civil War
187,died 1110 pm March 8 1874 aftereffects stroke last words alleged upon fed soup nourishment palatable January 7 year ceremony held grave site Forest Lawn Cemetery Buffalo
