,Question,Answer
437,true adams spent time ambassador,yes
438,true massachuS08_setts sent 1774,yes
439,MassachuS08_setts send 1774,John Adams
440,last words often quoted Thomas Jefferson survives,yes
441,John Adams Library housed Boston Public Library contains,Adamss personal collection 3500 volumes
442,Adams opponents,Democratic Republicans
443,election 1800 become bitter volatile battle side expressing extraordinary fear party policies,
444,happened 1764,Adams married Abigail Smith
445,kangaroo reptile,
446,kangaroo Australian coat arms,yes
447,James Cook first record name Kangooroo,yes
448,collective noun kangaroos,mob troop court
449,joeys complete postnatal development,marsupium
450,kangaroos use crawlwalking,hind feet
451,kangaroos wide bite,two sides lower jaw joined together lower incisors farther apart
452,responsible converting hydrogen byproduct fermentation acetate,bacteria
453,wild kangaroos shot meat,yes
454,kangaroos fared well since European S08_settlement,yes
455,kangaroos many natural predators,
456,average life expectancy kangaroo,46 years
457,first official report kangaroo blindness take place,1994
458,vehicles frequent isolated roads often fitted,roo bars
459,kangaroos eat plants,yes
460,extinct predators kangaroo,Thylacine Marsupial Lion Maagalania Wonambi
461,Kangaroo Marsupial,Yes
462,kangaroo herbivour,Yes
463,Kangaroos Shy,Yes
464,method locomotion Kangaroos Use,hopping
465,collective noun kangaroo,mob troop court
466,roo,kangaroo
467,used protect vehicale Kangaroo,roo bars
468,method used Kangaroos travel,hopping
469,asked nearby local creatures called,Captain James Cook naturalist Sir Joseph Banks
470,four species commonly referred kangaroos,Red Kangaroo Eastern Grey Kangaroo Western Grey Kangaroo Antilopine Kangaroo
471,kangaroos wallabies adept swimmers,yes
472,kangaroos farmed extent,
473,also discovered less three percent kangaroos exposed virus developed blindness,Veterinarians
474,Different species kangaroos eat,different diets
475,Kangaroos dazzled headlights startled engine noise known leap front cars,yes
476,collision vehicle capable killing kangaroo,yes
477,game Marn grook played using ball made kangaroo Kurnai people,yes
478,kangaroos large powerful hind legs large feet adapted leaping long muscular tail balance small head,yes
479,kangaroo marsupial family macropodidae LRB macropods meaning large foot RRB,yes
480,kinds changes larger kangaroos adapted much better,Changes wrought Australian landscape humans
481,larger kangaroos adapted much better changes,yes
482,leopard smaller members Panthera,yes
483,leopard larger less lanky cheetah,yes
484,large pythons potential prey leopards,yes
485,may leopard mistaken,cheetah jaguar
486,hybrid animal resulting union leopard puma,pumapard
487,leopards often hide kills,dense vegetation
488,early naturalists distinguish leopards panthers,length tails
489,dark leopards known colloquially,Black Panthers
490,shape leopards black roS08_settes East Africa,circular
491,leopard Old World mammal,yes
492,leopard Felidae family,yes
493,leopard one four big cats,yes
494,leopard distributed,southern Eurasia Africa
495,long leopards tail,60 110cm
496,much leopard weigh,Males considerably larger females weigh 37 90 kg compared 28 60 kg females
497,male leopard weigh female leopard,yes
498,difference leopards cheetahs,leopard roS08_settes rather cheetahs simple spots leopard larger less lanky cheetah
499,distribution size leopard compare distribution wild cats,1996 leopard largest distribution wild cat although populations since shown declining trend fragmented outside subsaharan Africa
500,resembles similarlysized cougar Americas,leopards ecological role
501,one many species described Linnaeuss 18thcentury work Systema Naturae,Felis pardus
502,sort cats solitary,Leopards
503,leopards circular,
504,leopard solitary,Yes
505,centred Sierra,leopard men
506,Felis pardus,One many species described Linnaeuss 18thcentury work Systema Naturae
507,New Zealand Rugby League featured Otahuhu Leopards Tamaki Leopards,Yes
508,Leopard men West African secret society practised cannibalism,Yes
509,leopard tank German designed tank entered service 1965,Yes
510,black color heritable caused one recessive gene locus,Yes
511,leopard LRB panthera pardus RRB old world mammal felidae family smallest four big cats genus panthera along tiger lion jaguar,Yes
512,panther several species large felid,Yes
513,leopard agile graceful predator,Yes
514,Liechtenstein bordered Switzerland,Yes
515,Liechtenstein smallest Germanspeaking country world,Yes
516,Liechtenstein part ancient Roman province Raetia,Yes
517,first factory opened,1836
518,many municipalities Liechtenstein divided,11
519,national currency Liechtenstein,Swiss franc
520,Leichtenstein worked promote countys image prosecuting international moneylaundering,Yes
521,company administers Leichtensteins railways,Austrian Federal Railways
522,percentage Liechtensteins population foreignborn,twothirds
523,airport Liechtenstein,
524,Liechtenstein heavily urbanized,
525,Liechtenstein doubly landlocked,Yes
526,Liechtenstein army,
527,Liechtensteins current constitution adopted,October 1921
528,official language Liechtenstein,German
529,countries border Liechtenstein,Switzerland Austria
530,Roman province Liechtenstein part,Raetia
531,many municipalities within Oberland,6
532,smallest Germanspeaking country world,Liechtenstein
533,Savings Loans Bank founded first cottonweaving mill year,1861
534,enjoys one worlds highest standards living,Liechtensteins population
535,state court rule conformity laws,Yes
536,recognizable international company largest employer common,Hilti
537,Liechtenstein completed November 2000,
538,completed November,Kunstmuseum Liechtenstein
539,State Court rules,conformity laws constitution
540,Historical Society Principality Liechtenstein plays,role preserving culture history country
541,museum collection also national art collection Liechtenstein,Yes
542,small heliport Balzers Liechtenstein available charter helicopter flights,Yes
543,nationals referred plural Liechtensteiners,Yes
544,winter sports resort although perhaps best known tax,Yes
545,winter sports resort,Yes
546,smallest germanspeaking country world,Yes
547,happened moravia lower austria silesia styria though cases territories held fief senior feudal lords,Liechtenstein Dynasty acquired vast swaths land
548,Webster write sleep nights,Yes
549,arrival Louis Kossuth exiled leader failed Hungarian revolution another issue presented Fillmores presidency,Yes
550,die 1110 pm March 8 1874 aftereffects stroke,Yes
551,got Seward elected senate,Weed
552,Commodore Matthew C Perry sent open Japan Western trade,Japan
553,Remarkable Millard Fillmore,fake biography based real events happened Fillmores life
554,Fillmore form law partnership founded private University Buffalo,
555,Fillmore run President second time,Yes
556,long death first wife Fillmore marry Caroline McIntosh,death date first wife
557,Millard Fillmore thirteenth President United States,yes
558,Millard Fillmore born January 7 1800,yes
559,Millard Fillmore die March 8 1974,
560,Millard Fillmore born,log cabin Summerhill New York
561,Millard Fillmore born,Nathaniel Phoebe Millard Fillmore
562,Millard Fillmore fall love,fell love Abigail Powers
563,Taylor Fillmore disagree upon,slavory issues
564,Fillmore ascend presidency,upon death sitting president Taylor
565,supporters Henry Clay feel Fillmore 1848,ok
566,first apprenticed fuller learn clothmaking trade,millard fillmore
567,founded private university buffalo date,1846
568,fell love abigail powers,millard fillmore
569,Fillmore one founders University Buffalo,yes
570,Another primary objective Fillmore preserve Union intensifying slavery debate,yes
571,Fillmore second Chancellor position maintained Vice President President,
572,Fillmore first two presidents indentured servant,yes
573,comic strip Mallard Fillmore named president,yes
574,Fillmore first US President born death former president,yes
575,Fillmore turn honor explaining neither literary scientific attainment justify degree,
576,happened log cabin summerhill new york,Fillmore born
577,born precisely midnight electrical storm Serbian family village Smiljan near Gospić Lika region Croatian Krajina Military Frontier part Austrian Empire presentday Croatia,Nikola Tesla
578,least two films describing Tesla life,Yes
579,number live theatrical plays based Tesla life produced staged worldwide,yes
580,sea otters long muscular tails,
581,otters survive cold water,yes
582,giant otter inhabit South Africa,
583,many species otter,13
584,river otters eat,variety fish shellfish well small land mammals birds
585,much sea otters weigh,30 kg 65 pounds
586,sea otters insulate,layer air trapped fur
587,sea otters nearly extinct,Theyve hunted fur
588,one challenges reestablishing population Eurasian otters UK,roadkill deaths
589,otter kind mammal,yes
590,many species genera otter,13 species 7 genera
591,otters live water,yes
592,sea otters live,Sea otters Enhydra lutris live along Pacific coast North America
593,word otter derive,word otter derives Old English word otr otor oter
594,otter give birth lay egg,give birth
595,drives sea otter almost extinction,Humans hunted almost extinction
596,otters considered totem animals,time year associated also associated Aquarius sign Zodiac sun passes January 20February 19
597,sea otters live along Pacific coast,Yes
598,otters totem animals,Yes
599,otters herbivores,
600,primary item otters diet,Fish
601,otters den called,Holt
602,giant otter becoming increasingly rare,Poaching habitat loss toxins gold mining
603,otters keep warm without blubber,layer air trapped fur
604,otters playful animals,slide snowy slopes apparently sheer enjoyment
605,animals related otters,weasels polecats badgers
606,traps layer air keeps dry warm water,Long guard hair
607,collective noun romp sometimes used group,Otters
608,true otters eat variety fish,yes
609,otters playful animals,yes
610,otters active,yes
611,male otters dogotters,yes
612,otter den,holt
613,Sea otters eat,Shellfish invertebrates
614,myth Otter Ransom starting point Volsunga saga,yes
615,Male otters dogotters females bitches babies cubs pups,yes
616,otter den called holt,yes
617,otters fish primary item diet supplemented frogs crayfish crabs,yes
618,penguins feed krill,yes
619,largest living species penguin,Emperor Penguin
620,penguins live almost exclusively Southern Hemisphere,yes
621,tobogganing,penguins slide bellies across snow
622,penguins countershaded,camouflage
623,penguins afraid humans,
624,much time penguins spend land,half life
625,many species penguins,17 20 living species
626,Isabelline penguins different penguins,brown rather black plumage
627,penguins birds,yes
